Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5H	60115	19/03/20 0017	3.80	0	-78.78	-78.78	-78.78	59.37	59.37	59.37	2.5735E-3	0.00	90.00	0.00	0.00	0.00	2.5524E-4	3.9666E-3	3.9669E-3	4.3105E-4	6.8135E-3	6.8141E-3	-2.5242E-3	-9.3459E-2	-6.3979E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60116	19/03/20 0017	3.80	0	-79.51	-79.51	-79.51	59.85	59.85	59.85	2.4842E-3	0.00	90.00	0.00	0.00	0.00	2.2713E-4	3.5301E-3	3.5301E-3	3.9107E-4	6.1821E-3	6.1821E-3	-2.4427E-3	-8.6801E-2	-6.1913E-2	Degauss X, Y, & Z	50	50	50	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60117	19/03/20 0017	3.80	0	-81.43	-81.43	-81.43	59.86	59.86	59.86	2.4611E-3	0.00	90.00	0.00	0.00	0.00	1.8413E-4	2.8617E-3	2.8617E-3	3.1709E-4	5.0126E-3	5.0126E-3	-2.4336E-3	-7.0870E-2	-6.1682E-2	Degauss X, Y, & Z	100	100	100	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60118	19/03/20 0017	3.80	0	-82.61	-82.61	-82.61	60.14	60.14	60.14	2.2481E-3	0.00	90.00	0.00	0.00	0.00	1.4396E-4	2.2374E-3	2.2374E-3	2.5075E-4	3.9639E-3	3.9639E-3	-2.2295E-3	-5.6540E-2	-5.6508E-2	Degauss X, Y, & Z	150	150	150	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60119	19/03/20 0017	3.80	0	-82.54	-82.54	-82.54	59.39	59.39	59.39	1.7586E-3	0.00	90.00	0.00	0.00	0.00	1.1628E-4	1.8072E-3	1.8072E-3	1.9651E-4	3.1064E-3	3.1064E-3	-1.7437E-3	-4.4196E-2	-4.4196E-2	Degauss X, Y, & Z	200	200	200	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60120	19/03/20 0017	3.80	0	-82.43	-82.43	-82.43	58.08	58.08	58.08	1.0177E-3	0.00	90.00	0.00	0.00	0.00	7.0871E-5	1.1015E-3	1.1015E-3	1.1377E-4	1.7985E-3	1.7985E-3	-1.0089E-3	-2.5571E-2	-2.5571E-2	Degauss X, Y, & Z	300	300	300	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60121	19/03/20 0017	3.80	0	-82.73	-82.73	-82.73	59.55	59.55	59.55	6.7585E-4	0.00	90.00	0.00	0.00	0.00	4.3367E-5	6.7400E-4	6.7401E-4	7.3776E-5	1.1662E-3	1.1662E-3	-6.7041E-4	-1.6992E-2	-1.6992E-2	Degauss X, Y, & Z	400	400	400	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60122	19/03/20 0017	3.80	0	-82.21	-82.21	-82.21	57.21	57.21	57.21	4.1537E-4	0.00	90.00	0.00	0.00	0.00	3.0486E-5	4.7369E-4	4.7382E-4	4.7315E-5	7.4795E-4	7.4796E-4	-4.1153E-4	-1.0431E-2	-1.0431E-2	Degauss X, Y, & Z	500	500	500	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60123	19/03/20 0017	3.80	0	-82.44	-82.44	-82.44	57.41	57.41	57.41	2.9783E-4	0.00	90.00	0.00	0.00	0.00	2.1118E-5	3.2824E-4	3.2822E-4	3.3035E-5	5.2223E-4	5.2222E-4	-2.9524E-4	-7.4832E-3	-7.4832E-3	Degauss X, Y, & Z	600	600	600	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60124	19/03/20 0017	3.80	0	-82.72	-82.72	-82.72	56.79	56.79	56.79	1.8346E-4	0.00	90.00	0.00	0.00	0.00	1.2734E-5	1.9793E-4	1.9791E-4	1.9453E-5	3.0752E-4	3.0752E-4	-1.8198E-4	-4.6125E-3	-4.6125E-3	Degauss X, Y, & Z	800	800	800	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60125	19/03/20 0017	3.80	0	-83.03	-83.03	-83.03	56.02	56.02	56.02	1.3081E-4	0.00	90.00	0.00	0.00	0.00	8.8758E-6	1.3796E-4	1.3795E-4	1.3168E-5	2.0817E-4	2.0816E-4	-1.2984E-4	-3.2910E-3	-3.2910E-3	Degauss X, Y, & Z	1000	1000	1000	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	1	-83.54	-83.54	-83.54	101.60	101.60	101.60	2.9044E-3	0.00	90.00	0.00	0.00	0.00	-6.5655E-5	-1.0207E-3	-1.0204E-3	3.1992E-4	5.0567E-3	5.0573E-3	-2.8860E-3	-1.0210E-1	-7.3147E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60116	19/03/20 0017	3.80	1	-83.82	-83.82	-83.82	101.98	101.98	101.98	2.7782E-3	0.00	90.00	0.00	0.00	0.00	-6.2112E-5	-9.6536E-4	-9.6535E-4	2.9271E-4	4.6272E-3	4.6272E-3	-2.7620E-3	-9.4448E-2	-7.0006E-2	Degauss X, Y, & Z	50	50	50	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60117	19/03/20 0017	3.80	1	-84.85	-84.85	-84.85	102.86	102.86	102.86	2.6985E-3	0.00	90.00	0.00	0.00	0.00	-5.3938E-5	-8.3830E-4	-8.3831E-4	2.3620E-4	3.7339E-3	3.7339E-3	-2.6876E-3	-7.7144E-2	-6.8120E-2	Degauss X, Y, & Z	100	100	100	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60118	19/03/20 0017	3.80	1	-85.47	-85.47	-85.47	103.47	103.47	103.47	2.4328E-3	0.00	90.00	0.00	0.00	0.00	-4.4778E-5	-6.9595E-4	-6.9594E-4	1.8696E-4	2.9555E-3	2.9555E-3	-2.4252E-3	-6.1499E-2	-6.1468E-2	Degauss X, Y, & Z	150	150	150	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60119	19/03/20 0017	3.80	1	-85.45	-85.45	-85.45	101.61	101.61	101.61	1.9047E-3	0.00	90.00	0.00	0.00	0.00	-3.0412E-5	-4.7266E-4	-4.7266E-4	1.4808E-4	2.3409E-3	2.3409E-3	-1.8987E-3	-4.8124E-2	-4.8124E-2	Degauss X, Y, & Z	200	200	200	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60120	19/03/20 0017	3.80	1	-85.43	-85.43	-85.43	99.03	99.03	99.03	1.1056E-3	0.00	90.00	0.00	0.00	0.00	-1.3839E-5	-2.1508E-4	-2.1509E-4	8.7087E-5	1.3767E-3	1.3767E-3	-1.1021E-3	-2.7933E-2	-2.7933E-2	Degauss X, Y, & Z	300	300	300	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60121	19/03/20 0017	3.80	1	-85.47	-85.47	-85.47	101.42	101.42	101.42	7.3312E-4	0.00	90.00	0.00	0.00	0.00	-1.1464E-5	-1.7818E-4	-1.7817E-4	5.6733E-5	8.9684E-4	8.9684E-4	-7.3083E-4	-1.8524E-2	-1.8524E-2	Degauss X, Y, & Z	400	400	400	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60122	19/03/20 0017	3.80	1	-85.34	-85.34	-85.34	97.19	97.19	97.19	4.5270E-4	0.00	90.00	0.00	0.00	0.00	-4.6049E-6	-7.1694E-5	-7.1570E-5	3.6528E-5	5.7743E-4	5.7743E-4	-4.5120E-4	-1.1436E-2	-1.1436E-2	Degauss X, Y, & Z	500	500	500	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60123	19/03/20 0017	3.80	1	-85.39	-85.39	-85.39	97.32	97.32	97.32	3.2491E-4	0.00	90.00	0.00	0.00	0.00	-3.3275E-6	-5.1694E-5	-5.1716E-5	2.5898E-5	4.0939E-4	4.0939E-4	-3.2386E-4	-8.2085E-3	-8.2085E-3	Degauss X, Y, & Z	600	600	600	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60124	19/03/20 0017	3.80	1	-85.54	-85.54	-85.54	97.06	97.06	97.06	2.0056E-4	0.00	90.00	0.00	0.00	0.00	-1.9171E-6	-2.9772E-5	-2.9796E-5	1.5474E-5	2.4461E-4	2.4461E-4	-1.9995E-4	-5.0680E-3	-5.0680E-3	Degauss X, Y, & Z	800	800	800	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60125	19/03/20 0017	3.80	1	-85.76	-85.76	-85.76	97.79	97.79	97.79	1.4303E-4	0.00	90.00	0.00	0.00	0.00	-1.4351E-6	-2.2288E-5	-2.2304E-5	1.0484E-5	1.6574E-4	1.6574E-4	-1.4264E-4	-3.6153E-3	-3.6152E-3	Degauss X, Y, & Z	1000	1000	1000	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	2	-83.53	-83.53	-83.53	144.84	144.84	144.84	3.1171E-3	0.00	90.00	0.00	0.00	0.00	-2.8699E-4	-4.4606E-3	-4.4603E-3	2.0213E-4	3.1947E-3	3.1953E-3	-3.0973E-3	-1.0692E-1	-7.8504E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60116	19/03/20 0017	3.80	2	-83.68	-83.68	-83.68	143.63	143.63	143.63	2.9646E-3	0.00	90.00	0.00	0.00	0.00	-2.6297E-4	-4.0871E-3	-4.0871E-3	1.9367E-4	3.0615E-3	3.0615E-3	-2.9466E-3	-9.8679E-2	-7.4683E-2	Degauss X, Y, & Z	50	50	50	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60117	19/03/20 0017	3.80	2	-84.60	-84.60	-84.60	144.29	144.29	144.29	2.8425E-3	0.00	90.00	0.00	0.00	0.00	-2.1701E-4	-3.3728E-3	-3.3728E-3	1.5602E-4	2.4664E-3	2.4664E-3	-2.8299E-3	-8.0580E-2	-7.1726E-2	Degauss X, Y, & Z	100	100	100	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60118	19/03/20 0017	3.80	2	-85.20	-85.20	-85.20	143.93	143.93	143.93	2.5401E-3	0.00	90.00	0.00	0.00	0.00	-1.7189E-4	-2.6715E-3	-2.6715E-3	1.2521E-4	1.9793E-3	1.9793E-3	-2.5312E-3	-6.4187E-2	-6.4156E-2	Degauss X, Y, & Z	150	150	150	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60119	19/03/20 0017	3.80	2	-85.24	-85.24	-85.24	142.52	142.52	142.52	1.9911E-3	0.00	90.00	0.00	0.00	0.00	-1.3111E-4	-2.0376E-3	-2.0376E-3	1.0053E-4	1.5891E-3	1.5891E-3	-1.9843E-3	-5.0293E-2	-5.0293E-2	Degauss X, Y, & Z	200	200	200	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60120	19/03/20 0017	3.80	2	-85.30	-85.30	-85.30	140.54	140.54	140.54	1.1593E-3	0.00	90.00	0.00	0.00	0.00	-7.3278E-5	-1.1389E-3	-1.1389E-3	6.0309E-5	9.5337E-4	9.5337E-4	-1.1554E-3	-2.9286E-2	-2.9286E-2	Degauss X, Y, & Z	300	300	300	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60121	19/03/20 0017	3.80	2	-85.29	-85.29	-85.29	140.15	140.15	140.15	7.6893E-4	0.00	90.00	0.00	0.00	0.00	-4.8486E-5	-7.5358E-4	-7.5357E-4	4.0474E-5	6.3981E-4	6.3981E-4	-7.6633E-4	-1.9423E-2	-1.9423E-2	Degauss X, Y, & Z	400	400	400	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60122	19/03/20 0017	3.80	2	-85.30	-85.30	-85.30	137.08	137.08	137.08	4.7626E-4	0.00	90.00	0.00	0.00	0.00	-2.8547E-5	-4.4379E-4	-4.4367E-4	2.6549E-5	4.1968E-4	4.1969E-4	-4.7467E-4	-1.2031E-2	-1.2031E-2	Degauss X, Y, & Z	500	500	500	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60123	19/03/20 0017	3.80	2	-85.34	-85.34	-85.34	135.57	135.57	135.57	3.4249E-4	0.00	90.00	0.00	0.00	0.00	-1.9851E-5	-3.0850E-4	-3.0852E-4	1.9462E-5	3.0766E-4	3.0766E-4	-3.4136E-4	-8.6520E-3	-8.6520E-3	Degauss X, Y, & Z	600	600	600	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60124	19/03/20 0017	3.80	2	-85.44	-85.44	-85.44	134.41	134.41	134.41	2.1214E-4	0.00	90.00	0.00	0.00	0.00	-1.1806E-5	-1.8347E-4	-1.8349E-4	1.2053E-5	1.9054E-4	1.9054E-4	-2.1146E-4	-5.3598E-3	-5.3598E-3	Degauss X, Y, & Z	800	800	800	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60125	19/03/20 0017	3.80	2	-85.52	-85.52	-85.52	135.28	135.28	135.28	1.5146E-4	0.00	90.00	0.00	0.00	0.00	-8.4000E-6	-1.3054E-4	-1.3055E-4	8.3178E-6	1.3149E-4	1.3149E-4	-1.5100E-4	-3.8273E-3	-3.8273E-3	Degauss X, Y, & Z	1000	1000	1000	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	3	-83.42	-83.42	-83.42	161.19	161.19	161.19	3.2517E-3	0.00	90.00	0.00	0.00	0.00	-3.5275E-4	-5.4827E-3	-5.4824E-3	1.2018E-4	1.8992E-3	1.8997E-3	-3.2303E-3	-1.0974E-1	-8.1875E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60116	19/03/20 0017	3.80	3	-83.46	-83.46	-83.46	157.67	157.67	157.67	3.0785E-3	0.00	90.00	0.00	0.00	0.00	-3.2444E-4	-5.0425E-3	-5.0425E-3	1.3323E-4	2.1061E-3	2.1061E-3	-3.0584E-3	-1.0107E-1	-7.7519E-2	Degauss X, Y, & Z	50	50	50	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60117	19/03/20 0017	3.80	3	-84.37	-84.37	-84.37	157.85	157.85	157.85	2.9262E-3	0.00	90.00	0.00	0.00	0.00	-2.6572E-4	-4.1299E-3	-4.1299E-3	1.0818E-4	1.7101E-3	1.7101E-3	-2.9121E-3	-8.2495E-2	-7.3811E-2	Degauss X, Y, & Z	100	100	100	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60118	19/03/20 0017	3.80	3	-84.97	-84.97	-84.97	157.48	157.48	157.48	2.6034E-3	0.00	90.00	0.00	0.00	0.00	-2.1084E-4	-3.2769E-3	-3.2769E-3	8.7415E-5	1.3819E-3	1.3819E-3	-2.5934E-3	-6.5762E-2	-6.5732E-2	Degauss X, Y, & Z	150	150	150	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60119	19/03/20 0017	3.80	3	-84.99	-84.99	-84.99	156.62	156.62	156.62	2.0428E-3	0.00	90.00	0.00	0.00	0.00	-1.6366E-4	-2.5437E-3	-2.5437E-3	7.0753E-5	1.1185E-3	1.1185E-3	-2.0351E-3	-5.1580E-2	-5.1580E-2	Degauss X, Y, & Z	200	200	200	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60120	19/03/20 0017	3.80	3	-85.07	-85.07	-85.07	154.61	154.61	154.61	1.1921E-3	0.00	90.00	0.00	0.00	0.00	-9.2579E-5	-1.4389E-3	-1.4389E-3	4.3933E-5	6.9450E-4	6.9450E-4	-1.1877E-3	-3.0103E-2	-3.0103E-2	Degauss X, Y, & Z	300	300	300	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60121	19/03/20 0017	3.80	3	-85.14	-85.14	-85.14	152.73	152.73	152.73	7.9181E-4	0.00	90.00	0.00	0.00	0.00	-5.9636E-5	-9.2687E-4	-9.2686E-4	3.0742E-5	4.8598E-4	4.8598E-4	-7.8897E-4	-1.9997E-2	-1.9997E-2	Degauss X, Y, & Z	400	400	400	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60122	19/03/20 0017	3.80	3	-85.13	-85.13	-85.13	150.54	150.54	150.54	4.9241E-4	0.00	90.00	0.00	0.00	0.00	-3.6413E-5	-5.6606E-4	-5.6594E-4	2.0571E-5	3.2517E-4	3.2518E-4	-4.9063E-4	-1.2435E-2	-1.2435E-2	Degauss X, Y, & Z	500	500	500	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60123	19/03/20 0017	3.80	3	-85.20	-85.20	-85.20	148.00	148.00	148.00	3.5491E-4	0.00	90.00	0.00	0.00	0.00	-2.5188E-5	-3.9145E-4	-3.9147E-4	1.5741E-5	2.4883E-4	2.4883E-4	-3.5367E-4	-8.9641E-3	-8.9641E-3	Degauss X, Y, & Z	600	600	600	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60124	19/03/20 0017	3.80	3	-85.28	-85.28	-85.28	145.43	145.43	145.43	2.2056E-4	0.00	90.00	0.00	0.00	0.00	-1.4934E-5	-2.3209E-4	-2.3211E-4	1.0290E-5	1.6266E-4	1.6266E-4	-2.1981E-4	-5.5715E-3	-5.5714E-3	Degauss X, Y, & Z	800	800	800	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60125	19/03/20 0017	3.80	3	-85.32	-85.32	-85.32	145.22	145.22	145.22	1.5764E-4	0.00	90.00	0.00	0.00	0.00	-1.0555E-5	-1.6403E-4	-1.6405E-4	7.3318E-6	1.1591E-4	1.1590E-4	-1.5711E-4	-3.9821E-3	-3.9821E-3	Degauss X, Y, & Z	1000	1000	1000	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	4	-84.67	-84.67	-84.67	164.77	164.77	164.77	3.3329E-3	0.00	90.00	0.00	0.00	0.00	-2.9844E-4	-4.6387E-3	-4.6384E-3	8.1275E-5	1.2843E-3	1.2848E-3	-3.3185E-3	-1.1143E-1	-8.4110E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60116	19/03/20 0017	3.80	4	-84.50	-84.50	-84.50	157.59	157.59	157.59	3.1444E-3	0.00	90.00	0.00	0.00	0.00	-2.7881E-4	-4.3333E-3	-4.3333E-3	1.1496E-4	1.8172E-3	1.8172E-3	-3.1299E-3	-1.0243E-1	-7.9332E-2	Degauss X, Y, & Z	50	50	50	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60117	19/03/20 0017	3.80	4	-85.25	-85.25	-85.25	157.68	157.68	157.68	2.9736E-3	0.00	90.00	0.00	0.00	0.00	-2.2785E-4	-3.5412E-3	-3.5412E-3	9.3517E-5	1.4783E-3	1.4783E-3	-2.9633E-3	-8.3617E-2	-7.5109E-2	Degauss X, Y, & Z	100	100	100	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60118	19/03/20 0017	3.80	4	-85.74	-85.74	-85.74	157.19	157.19	157.19	2.6367E-3	0.00	90.00	0.00	0.00	0.00	-1.8048E-4	-2.8051E-3	-2.8051E-3	7.5920E-5	1.2001E-3	1.2001E-3	-2.6295E-3	-6.6676E-2	-6.6646E-2	Degauss X, Y, & Z	150	150	150	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60119	19/03/20 0017	3.80	4	-85.75	-85.75	-85.75	156.43	156.43	156.43	2.0710E-3	0.00	90.00	0.00	0.00	0.00	-1.4080E-4	-2.1883E-3	-2.1883E-3	6.1416E-5	9.7086E-4	9.7086E-4	-2.0653E-3	-5.2347E-2	-5.2347E-2	Degauss X, Y, & Z	200	200	200	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60120	19/03/20 0017	3.80	4	-85.78	-85.78	-85.78	154.45	154.45	154.45	1.2116E-3	0.00	90.00	0.00	0.00	0.00	-8.0361E-5	-1.2490E-3	-1.2490E-3	3.8419E-5	6.0733E-4	6.0733E-4	-1.2083E-3	-3.0625E-2	-3.0625E-2	Degauss X, Y, & Z	300	300	300	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60121	19/03/20 0017	3.80	4	-85.90	-85.90	-85.90	151.34	151.34	151.34	8.0621E-4	0.00	90.00	0.00	0.00	0.00	-5.0630E-5	-7.8690E-4	-7.8689E-4	2.7668E-5	4.3738E-4	4.3738E-4	-8.0414E-4	-2.0382E-2	-2.0382E-2	Degauss X, Y, & Z	400	400	400	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60122	19/03/20 0017	3.80	4	-85.86	-85.86	-85.86	149.04	149.04	149.04	5.0296E-4	0.00	90.00	0.00	0.00	0.00	-3.1167E-5	-4.8452E-4	-4.8440E-4	1.8697E-5	2.9555E-4	2.9556E-4	-5.0165E-4	-1.2715E-2	-1.2715E-2	Degauss X, Y, & Z	500	500	500	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60123	19/03/20 0017	3.80	4	-85.91	-85.91	-85.91	145.63	145.63	145.63	3.6355E-4	0.00	90.00	0.00	0.00	0.00	-2.1382E-5	-3.3230E-4	-3.3232E-4	1.4623E-5	2.3116E-4	2.3116E-4	-3.6263E-4	-9.1912E-3	-9.1912E-3	Degauss X, Y, & Z	600	600	600	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60124	19/03/20 0017	3.80	4	-85.94	-85.94	-85.94	141.94	141.94	141.94	2.2667E-4	0.00	90.00	0.00	0.00	0.00	-1.2635E-5	-1.9636E-4	-1.9638E-4	9.8917E-6	1.5637E-4	1.5637E-4	-2.2610E-4	-5.7307E-3	-5.7307E-3	Degauss X, Y, & Z	800	800	800	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60125	19/03/20 0017	3.80	4	-85.95	-85.95	-85.95	140.73	140.73	140.73	1.6211E-4	0.00	90.00	0.00	0.00	0.00	-8.8575E-6	-1.3765E-4	-1.3766E-4	7.2419E-6	1.1448E-4	1.1448E-4	-1.6170E-4	-4.0985E-3	-4.0985E-3	Degauss X, Y, & Z	1000	1000	1000	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60115	19/03/20 0017	3.80	5	-87.27	-87.27	-87.27	146.79	146.79	146.79	3.4175E-3	0.00	90.00	0.00	0.00	0.00	-1.3642E-4	-2.1205E-3	-2.1203E-3	8.9311E-5	1.4113E-3	1.4118E-3	-3.4136E-3	-1.1331E-1	-8.6520E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60116	19/03/20 0017	3.80	5	-86.60	-86.60	-86.60	135.70	135.70	135.70	3.2175E-3	0.00	90.00	0.00	0.00	0.00	-1.3642E-4	-2.1202E-3	-2.1202E-3	1.3311E-4	2.1043E-3	2.1043E-3	-3.2118E-3	-1.0405E-1	-8.1407E-2	Degauss X, Y, & Z	50	50	50	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60117	19/03/20 0017	3.80	5	-87.08	-87.08	-87.08	135.60	135.60	135.60	3.0264E-3	0.00	90.00	0.00	0.00	0.00	-1.1034E-4	-1.7148E-3	-1.7148E-3	1.0805E-4	1.7081E-3	1.7081E-3	-3.0225E-3	-8.4947E-2	-7.6608E-2	Degauss X, Y, & Z	100	100	100	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60118	19/03/20 0017	3.80	5	-87.39	-87.39	-87.39	134.46	134.46	134.46	2.6759E-3	0.00	90.00	0.00	0.00	0.00	-8.5446E-5	-1.3280E-3	-1.3280E-3	8.7064E-5	1.3763E-3	1.3763E-3	-2.6731E-3	-6.7781E-2	-6.7752E-2	Degauss X, Y, & Z	150	150	150	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60119	19/03/20 0017	3.80	5	-87.36	-87.36	-87.36	134.17	134.17	134.17	2.1027E-3	0.00	90.00	0.00	0.00	0.00	-6.7427E-5	-1.0479E-3	-1.0479E-3	6.9405E-5	1.0972E-3	1.0972E-3	-2.1005E-3	-5.3239E-2	-5.3239E-2	Degauss X, Y, & Z	200	200	200	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60120	19/03/20 0017	3.80	5	-87.33	-87.33	-87.33	132.34	132.34	132.34	1.2326E-3	0.00	90.00	0.00	0.00	0.00	-3.8672E-5	-6.0104E-4	-6.0104E-4	4.2444E-5	6.7096E-4	6.7095E-4	-1.2312E-3	-3.1207E-2	-3.1207E-2	Degauss X, Y, & Z	300	300	300	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60121	19/03/20 0017	3.80	5	-87.39	-87.39	-87.39	125.71	125.71	125.71	8.2265E-4	0.00	90.00	0.00	0.00	0.00	-2.1827E-5	-3.3924E-4	-3.3923E-4	3.0364E-5	4.7999E-4	4.7999E-4	-8.2179E-4	-2.0829E-2	-2.0829E-2	Degauss X, Y, & Z	400	400	400	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60122	19/03/20 0017	3.80	5	-87.28	-87.28	-87.28	124.11	124.11	124.11	5.1390E-4	0.00	90.00	0.00	0.00	0.00	-1.3675E-5	-2.1265E-4	-2.1254E-4	2.0192E-5	3.1919E-4	3.1919E-4	-5.1332E-4	-1.3011E-2	-1.3011E-2	Degauss X, Y, & Z	500	500	500	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60123	19/03/20 0017	3.80	5	-87.23	-87.23	-87.23	119.79	119.79	119.79	3.7235E-4	0.00	90.00	0.00	0.00	0.00	-8.9539E-6	-1.3914E-4	-1.3916E-4	1.5641E-5	2.4725E-4	2.4725E-4	-3.7191E-4	-9.4265E-3	-9.4265E-3	Degauss X, Y, & Z	600	600	600	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60124	19/03/20 0017	3.80	5	-87.11	-87.11	-87.11	115.96	115.96	115.96	2.3267E-4	0.00	90.00	0.00	0.00	0.00	-5.1355E-6	-7.9795E-5	-7.9816E-5	1.0548E-5	1.6675E-4	1.6675E-4	-2.3238E-4	-5.8899E-3	-5.8898E-3	Degauss X, Y, & Z	800	800	800	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5H	60125	19/03/20 0017	3.80	5	-87.05	-87.05	-87.05	114.57	114.57	114.57	1.6638E-4	0.00	90.00	0.00	0.00	0.00	-3.5642E-6	-5.5380E-5	-5.5394E-5	7.7947E-6	1.2322E-4	1.2322E-4	-1.6615E-4	-4.2114E-3	-4.2114E-3	Degauss X, Y, & Z	1000	1000	1000	NA	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
